name,parent,concept_name,source,standard_semantic_hierarchy
"Soybean farming, field and seed production",Soybean Farming,Index Description,2022 NAICS,Yes
"Canola farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Flaxseed farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Mustard seed farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Oilseed farming (except soybean), field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Rapeseed farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Safflower farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Sesame farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Sunflower farming, field and seed production",Oilseed (except Soybean) Farming ,Index Description,2022 NAICS,Yes
"Bean farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Cowpea farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Garbanzo farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Lentil farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Lima bean farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Pea farming, dry, field and seed production",Dry Pea and Bean Farming ,Index Description,2022 NAICS,Yes
"Wheat farming, field and seed production",Wheat Farming,Index Description,2022 NAICS,Yes
"Corn farming (except sweet corn), field and seed production",Corn Farming ,Index Description,2022 NAICS,Yes
"Popcorn farming, field and seed production",Corn Farming ,Index Description,2022 NAICS,Yes
"Rice (except wild rice) farming, field and seed production",Rice Farming,Index Description,2022 NAICS,Yes
"Oilseed and grain combination farming, field and seed production",Oilseed and Grain Combination Farming ,Index Description,2022 NAICS,Yes
"Barley farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
Broomcorn farming,All Other Grain Farming ,Index Description,2022 NAICS,Yes
Buckwheat farming,All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Milo farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Oat farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Rye farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Sorghum farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Wild rice farming, field and seed production",All Other Grain Farming ,Index Description,2022 NAICS,Yes
"Potato farming, field and seed potato production",Potato Farming ,Index Description,2022 NAICS,Yes
"Sweet potato farming, field and seed potato production",Potato Farming ,Index Description,2022 NAICS,Yes
"Vegetable and melon farming, potato dominant crop, field and seed production",Potato Farming ,Index Description,2022 NAICS,Yes
"Vegetable and potato farming, potato dominant crop, field and seed potato production",Potato Farming ,Index Description,2022 NAICS,Yes
"Yam farming, field and seed production",Potato Farming ,Index Description,2022 NAICS,Yes
"Acorn squash farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Artichoke farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Asparagus farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Bean (except dry) farming, field and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Beet farming (except sugar beets), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Broccoli farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Brussel sprout farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Butternut squash farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cabbage farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cantaloupe farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Carrot farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Casaba melon farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cassava farming, field and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cauliflower farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Celery farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Chinese pea farming, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Chive farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Collard farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cowpea (except dry) farming, field and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Crenshaw melon farming, field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Cucumber farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Dill farming, field and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Eggplant farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Endive farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"English pea farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Escarole farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Garlic farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
"Gingerroot farming (except under cover), field, bedding plant and seed production",Other Vegetable (except Potato) and Melon Farming ,Index Description,2022 NAICS,Yes
